INDV	N_SITES	MEAN_DEPTH
JBMDLNJ_1731	1960	6.79796
JBMDLNJ_1732	2841	15.5301
JBMDLNJ_1733	3613	19.5596
JBMDLNJ_1734	3641	21.9039
JBMDLNJ_1735	3574	22.1821
JBMDLNJ_1736	3236	14.8106
JBMDLNJ_1737	3112	18.3204
JBMDLNJ_1738	4122	40.5415
JBMDLNJ_1739	3504	16.8827
JBMDLNJ_1740	3528	26.7548
JBMDLNJ_1742	135	1.11852
JBMDLNJ_1743	3675	22.935
JugEndMA_150	3527	19.6833
KinnikinnickFenOH_1995	3790	23.0826
KittyToddOH_1996	2106	10.1026
KittyToddOH_1997	3213	20.2972
KittyToddOH_1998	3787	29.2691
KittyToddOH_1999	3010	20.5684
KittyToddOH_2000	2711	14.3549
KittyToddOH_2001	753	4.86853
KittyToddOH_2002	3972	37.1825
KittyToddOH_2003	3508	21.6405
KittyToddOH_2004	4084	39.2909
KittyToddOH_2005	3489	27.0281
KittyToddOH_2006	3790	25.8802
KittyToddOH_2007	3782	30.1372
Palmetto-PeartreePreserveNC_1309	4419	24.6608
Palmetto-PeartreePreserveNC_1310	999	4.82482
Palmetto-PeartreePreserveNC_1311	4524	25.1868
Palmetto-PeartreePreserveNC_1312	3599	15.0303
Palmetto-PeartreePreserveNC_1313	4459	30.4371
Palmetto-PeartreePreserveNC_1314	3285	12.333
Palmetto-PeartreePreserveNC_1315	4342	25.2897
Palmetto-PeartreePreserveNC_1316	4722	35.3611
Palmetto-PeartreePreserveNC_1317	3129	14.3621
Palmetto-PeartreePreserveNC_1318	4765	36.201
Palmetto-PeartreePreserveNC_1319	4001	18.0795
Palmetto-PeartreePreserveNC_1320	2446	10.0515
Palmetto-PeartreePreserveNC_1321	4681	31.5706
Palmetto-PeartreePreserveNC_1322	3504	13.1204
Palmetto-PeartreePreserveNC_1323	4306	21.5783
Palmetto-PeartreePreserveNC_1324	4220	21.2486
Palmetto-PeartreePreserveNC_1325	4006	16.9628
Palmetto-PeartreePreserveNC_1326	4611	24.8853
Palmetto-PeartreePreserveNC_1327	4503	25.7231
Palmetto-PeartreePreserveNC_1328	4437	26.0685
Palmetto-PeartreePreserveNC_1329	3909	14.6191
PecoyPointMA_1754	4479	25.134
PlymouthMA_1777	4419	24.6608
PlymouthMA_1779	4459	30.4371
PlymouthMA_1780	3285	12.333
PlymouthMA_1781	4342	25.2897
PlymouthMA_1782	4722	35.3611
PlymouthMA_1787	3504	13.1204
PlymouthMA_1788	4306	21.5783
PlymouthMA_1790	4220	21.2486
PlymouthMA_1791	4006	16.9628
PlymouthMA_1792	4611	24.8853
PlymouthMA_1793	4503	25.7231
PlymouthMA_1794	4437	26.0685
